EIN,Name in IRS Master File,NTEE Code,NTEE Type (26),NTEE Classification,Affiliation,Founded,Overall,Financial Socre,Transparency Score,Tel,Website,Street,City,State,Zip
52-6065757,Chesapeake Bay Foundation Inc,C32,"Environmental Quality, Protection and Beautification","Water Resource, Wetlands Conservation and Management",Independent ,"April, 1966",82.22,75.18,96,tel: (410) 268-8816,http://www.cbf.org,6 Herndon Avenue,Annapolis,MD,21403
23-7051889,Chesapeake Bay Maritime Museum Inc,A50,"Arts, Culture and Humanities","Museum, Museum Activities",Independent ,"July, 1968",90.82,87.03,100,tel: (410) 745-2916,http://www.cbmm.org/,213 North Talbot Street,St. Michaels,MD,21663
52-1454182,Chesapeake Bay Trust,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1986",92.44,89.31,100,tel: (410) 974-2941,http://www.cbtrust.org,60 West Street,Annapolis,MD,21401
13-6119036,Chess-In-The-Schools Inc,N50,"Recreation, Sports, Leisure, Athletics","Recreational, Pleasure, or Social Club",Independent ,"May, 1956",76.96,70.59,86,tel: (212) 643-0225,http://www.chessintheschools.org/,520 Eighth Avenue,New York,NY,10018
36-3286520,The Chest Foundation,T30,"Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,Independent ,"October, 1986",86.8,84.93,89,tel: (847) 498-8308,http://www.onebreath.org/,3300 Dundee Road,Northbrook,IL,60062
84-0407039,Cheyenne Mountain Zoological Society,D50,Animal-Related,"Zoo, Zoological Society",Independent ,"May, 1939",92.23,89.44,97,tel: (719) 633-9925,http://www.cmzoo.org,4250 Cheyenne Mountain Zoo Road,Colorado Springs,CO,80906
59-2017124,Chi Chi Rodriguez Youth Foundation,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"January, 1982",82.5,76.58,92,tel: (727) 726-8829,http://www.chichi.org/foundation/learning_links.htm,3030 North McMullen Booth Road,Clearwater,FL,33761
36-0895575,Chicago Academy Of Sciences,A57,"Arts, Culture and Humanities",Science and Technology Museums,Independent ,"October, 1933",82.03,75.89,92,tel: (773) 755-5115,http://www.naturemuseum.org/,2430 North Cannon Drive,Chicago,IL,60614
36-3969334,Chicago Arts Partnerships In Education,B95,[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1994",80.85,72.92,100,tel: (312) 870-6140,http://www.capeweb.org,228 South Wabash Avenue,Chicago,IL,60604
36-6109584,Chicago Bar Foundation,B99,Educational Institutions and Related Activities,Education N.E.C.,Independent ,"October, 1949",94.28,95.96,93,tel: (312) 554-1204,http://chicagobarfoundation.org/,321 South Plymouth Court,Chicago,IL,60604
36-2225482,Chicago Horticultural Society,C41,"Environmental Quality, Protection and Beautification","Botanical Gardens, Arboreta and Botanical Organizations",Independent ,"January, 1949",93.02,90.99,96,tel: (847) 835-5440,http://www.chicagobotanic.org,1000 Lake Cook Road,Glencoe,IL,60022
36-3777709,Chicago Cares Inc,S20,"Community Improvement, Capacity Building","Community, Neighborhood Development, Improvement (General)",Independent ,"October, 1991",89.38,86.72,93,tel: (312) 780-0800,http://www.chicagocares.org,2 North Riverside,Chicago,IL,60606
51-0140419,Chicago Childrens Choir,A6B,"Arts, Culture and Humanities","Singing, Choral",Independent ,"September, 1975",87.44,90.51,85,tel: (312) 849-8300,http://www.ccchoir.org,78 East Washington Street,Chicago,IL,60602
36-3162484,Chicago Childrens Museum,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"April, 1982",73.97,64.87,89,tel: (312) 464-7708,http://www.chicagochildrensmuseum.org/,Navy Pier,Chicago,IL,60611
36-3292607,Chicago Coalition For The Homeless,L00,[Not Provided by IRS],[Not Provided by IRS],Independent ,"May, 1984",89.72,85.47,100,tel: (312) 641-4140,http://www.chicagohomeless.org,70 E. Lake Street,Chicago,IL,60601
36-2181969,Chicago Council On Global Affairs,Q05,"International, Foreign Affairs and National Security",Research Institutes and/or Public Policy Analysis,Independent ,"July, 1938",85.67,86.39,85,tel: (312) 726-3860,http://www.thechicagocouncil.org/,332 South Michigan Avenue,Chicago,IL,60604
36-3348160,Chicago Foundation For Women,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"April, 1985",90.91,93.36,89,tel: (312) 577-2801,http://www.cfw.org/,One East Wacker Drive,Chicago,IL,60601
36-3764084,Chicago Gateway Green Committee,C50,"Environmental Quality, Protection and Beautification",Environmental Beautification and Aesthetics,Independent ,"July, 1993",78.34,75.99,81,tel: (312) 527-9621,http://www.gatewaygreen.org,541 North Fairbanks Court,Chicago,IL,60611
36-2167004,Chicago Historical Society,A54,"Arts, Culture and Humanities",History Museums,Independent ,"October, 1932",87.73,86.59,89,tel: (312) 642-4600,http://www.chicagohistory.org,1601 North Clark Street,Chicago,IL,60614
36-4244054,Chicago Hope Academy,B25,Educational Institutions and Related Activities,"Secondary, High School",Independent ,"April, 2000",82.06,83.19,81,tel: (312) 491-1600,http://chicagohopeacademy.org/,2189 West Bowler Street,Chicago,IL,60612
36-7148236,Chicago Humanities Festival,A99,"Arts, Culture and Humanities","Arts, Culture, and Humanities N.E.C.",Independent ,"December, 1996",83.08,78.76,89,tel: (312) 661-1028,http://chicagohumanities.org/,500 N. Dearborn,Chicago,IL,60654
51-0189264,Chicago Lawyers Committee For Civil Rights Inc,I83,"Crime, Legal-Related","Public Interest Law, Litigation",Independent ,"June, 1976",89.85,90.78,89,tel: (312) 630-9744,http://clccrul.org/,100 North LaSalle Street,Chicago,IL,60602
36-3200465,Chicago Legal Clinic Inc,I80,"Crime, Legal-Related",Legal Services,Independent ,"February, 1983",88.59,84.37,96,tel: (773) 731-1762,http://www.clclaw.org/,2938 East 91st Street,Chicago,IL,60617
36-2169139,The Chicago Lighthouse For People Who Are Blind Or Visually Impaired,P86,Human Services - Multipurpose and Other,"Blind/Visually Impaired Centers, Services",Independent ,"October, 1933",93.05,93.11,93,tel: (312) 666-1331,http://chicagolighthouse.org/,1850 West Roosevelt Road,Chicago,IL,60608
36-3786331,Chicago Lights,T30,"Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,Independent ,"November, 1991",82.54,76.65,92,tel: (312) 787-4570,http://www.chicagolights.org,126 East Chestnut Street,Chicago,IL,60611
36-4279013,Chicago Public Education Fund,B02,Educational Institutions and Related Activities,Management & Technical Assistance,Independent ,"November, 1999",86.11,82.07,92,tel: (312) 558-4500,http://www.thefundchicago.org/,200 West Adams Street,Chicago,IL,60606
36-3480353,Chicago Public Library Foundation,B71,[Not Provided by IRS],[Not Provided by IRS],Independent ,"July, 1987",88.75,84.1,100,tel: (312) 201-9830,http://www.chicagopubliclibraryfoundation.org/,20 North Michigan Avenue,Chicago,IL,60602
36-3687394,Chicago Public Media Inc,A34,"Arts, Culture and Humanities",Radio,Independent ,"March, 1994",89.47,85.66,96,tel: (312) 948-4600,http://chicagopublicmedia.org/,Navy Pier,Chicago,IL,60611
36-3467607,Chicago Shakespeare Theater,A65,"Arts, Culture and Humanities",Theater,Independent ,"March, 1987",92.13,98.34,89,tel: (312) 667-4952,http://www.chicagoshakes.com,800 East Grand Avenue,Chicago,IL,60611
36-2167823,Chicago Symphony Orchestra,A69,"Arts, Culture and Humanities",Symphony Orchestras,Independent ,"February, 1927",88.78,94.86,85,tel: (312) 294-3100,http://www.cso.org,220 South Michigan Avenue,Chicago,IL,60604
23-7164989,Chicago Volunteer Legal Services Foundation,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1972",89.47,87.45,92,tel: (312) 332-1624,http://www.cvls.org/,33 North Dearborn Street,Chicago,IL,60602
36-2344429,Chicago Youth Centers,O20,Youth Development,"Youth Centers, Clubs, Multipurpose",Independent ,"June, 1957",80.8,73.15,96,tel: (312) 913-1700,http://www.chicagoyouthcenters.org,218 South Wabash Avenue,Chicago,IL,60604
36-3635676,Chicago Youth Programs Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"July, 1990",85.07,78.89,100,tel: (773) 924-0220,http://www.chicagoyouthprograms.org/,5350 South Prairie Avenue,Chicago,IL,60615
36-2167016,Chicago Zoological Society,D50,Animal-Related,"Zoo, Zoological Society",Independent ,"September, 1941",86.68,88.62,85,tel: (708) 688-8341,http://www.brookfieldzoo.org,3300 Golf Road,Brookfield,IL,60513
73-1325326,Child Abuse Network Inc,I72,"Crime, Legal-Related","Child Abuse, Prevention of",Independent ,"December, 1988",86.19,83.87,89,tel: (918) 624-0200,http://www.childabusenetwork.org/,2829 South Sheridan,Tulsa,OK,74129
76-0111345,Child Advocates Incorporated,I5X,[Not Provided by IRS],[Not Provided by IRS],Independent ,"October, 1984",91.45,90.94,92,tel: (713) 529-1396,http://www.childadvocates.org/,2401 Portsmouth,Houston,TX,77098
77-0250773,Child Advocates Of Silicon Valley Inc,R20,"Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups",Independent ,"June, 1990",97.19,96.03,100,tel: (408) 416-0400,http://www.bemyadvocate.org,509 Valley Way,Milpitas,CA,95035
74-2494625,Child Advocates San Antonio,R20,"Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups",Independent ,"November, 1988",89.46,85.65,96,tel: (210) 225-7070,http://www.casa-satx.org/,406 San Pedro Avenue,San Antonio,TX,78212
33-0317937,Child Aid,Q19,"International, Foreign Affairs and National Security",Nonmonetary Support N.E.C.,Independent ,"May, 1993",97.71,96.77,100,tel: (503) 223-3008,http://www.child-aid.org,917 Southwest Oak Street,Portland,OR,97205
54-1589809,The Child And Family Network Centers,B22,[Not Provided by IRS],[Not Provided by IRS],Independent ,"October, 1991",88.96,86.05,93,tel: (703) 836-0214,https://www.cfnc-online.org,3700 Wheeler Ave.,Alexandria,VA,22304
86-0324144,Child Crisis Arizona,I72,"Crime, Legal-Related","Child Abuse, Prevention of",Independent ,"December, 1976",90.65,86.79,100,tel: (480) 834-9424,http://childcrisisaz.org/,PO Box 4114,Mesa,AZ,85211
38-6091187,Child Evangelism Fellowship Inc,O55,Youth Development,Youth Development - Religious Leadership,Central ,"August, 1969",85.58,81.25,92,tel: (636) 456-4321,http://www.cefonline.com/,17482 State Highway M,Warrenton,MO,63383
93-1148608,Child Foundation,P58,Human Services - Multipurpose and Other,Gift Distribution,Independent ,"January, 1995",87.71,82.63,100,tel: (503) 224-0409,http://www.childfoundation.org,4475 Southwest Scholls Ferry Road,Portland,OR,97225
74-2630213,Child Legacy International Inc,X21,"Religion-Related, Spiritual Development",Protestant,Independent ,"December, 1993",95.95,95.91,96,tel: (830) 331-9428,http://www.childlegacy.org/index.php,P.O. Box 805,Boerne,TX,78006
02-0659244,Cry-Child Rights And You America Inc,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"November, 2003",76.95,75.96,78,tel: (617) 959-1273,http://america.cry.org/site/index.html,P.O. Box 850948,Braintree,MA,2185
13-1641066,Child Welfare League Of America Inc,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"December, 1977",71.85,61.75,89,tel: (202) 688-4200,http://www.cwla.org/,1726 M Street NW,Washington,DC,20036
23-7442963,Child Builders,F80,"Mental Health, Crisis Intervention","Mental Health Association, Multipurpose",Independent ,"April, 1975",76.33,71.79,82,tel: (713) 481-6555,http://www.childbuilders.org/,2425 Fountain View Drive,Houston,TX,77057
63-0882628,Childcare Resources,P33,Human Services - Multipurpose and Other,Child Day Care,Independent ,"October, 1984",75.71,69.1,85,tel: (800) 822-2734,http://ccr-bhm.org/,244 West Valley Avenue,Birmingham,AL,35209
95-3619910,Childcare Worldwide,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"April, 1983",92.02,89.46,96,tel: (800) 553-2328,http://www.childcareworldwide.org/,1971 Midway Lane,Bellingham,WA,98226
54-0536100,Childfund International Usa,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"April, 1951",85.04,78.85,100,tel: (800) 776-6767,http://www.childfund.org/,2821 Emerywood Parkway,Richmond,VA,23294
91-0402430,Childhaven,P33,Human Services - Multipurpose and Other,Child Day Care,Independent ,"December, 1940",83.08,78.76,89,tel: (206) 624-6477,http://www.childhaven.org/,316 Broadway,Seattle,WA,98122
95-2884608,Childhelp Inc,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"May, 1961",77.42,69.09,92,tel: (480) 922-8212,http://www.childhelp.org,4350 E. Camelback Road,Phoenix,AZ,85018
52-1825483,Childhood Leukemia Foundation Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"September, 1993",28.49,0,85,tel: (888) 253-7109,http://www.clf4kids.org,807 Mantoloking Road,Brick,NJ,8723
59-2817697,Chadd Inc Children & Adults With Attention-Deficit Hyperactivity Di,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"February, 1989",74.43,64.74,92,tel: (800) 233-4050,http://www.chadd.org,4601 Presidents Drive,Lanham,MD,20706
65-1196220,Children In Crisis Inc,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"January, 2005",87.14,89.72,85,tel: (850) 864-4242,http://www.childrenincrisisfl.org/,1000 Luke's Way,Fort Walton Beach,FL,32547
54-0761510,Children Incorporated,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"June, 1966",83.87,78.65,92,tel: (800) 538-5381,https://www.childrenincorporated.org,P O Box 72848,North Chesterfield,VA,23235
44-6005794,Children International,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"December, 1971",88.09,83.16,100,tel: (800) 888-3089,http://www.children.org,2000 East Red Bridge Road,Kansas City,MO,64121
11-3579187,Children Of Armenia Fund Inc,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"September, 2002",86.1,82.05,92,tel: (212) 994-8234,http://www.coafkids.org,149 Fifth Avenue,New York,NY,10010
13-1679615,Children Of Bellevue Inc,E86,Health - General and Rehabilitative,"Patient Services - Entertainment, Recreation",Independent ,"May, 1949",76.36,70.13,85,tel: (212) 562-4130,http://www.childrenofbellevue.org/,462 First Avenue,New York,NY,10016
36-4490602,Children Of Promise Inc,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,Independent ,"April, 2002",79.39,77.9,81,tel: (765) 648-2190,http://www.echildrenofpromise.org/,PO Box 2316,Anderson,IN,46018
77-0018357,Children Of The Americas,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"April, 1986",78.09,72.37,86,tel: (949) 709-0673,http://www.americaschildren.org/,67 Gingham Street,Trabuco Canyon,CA,92679
91-1702551,Children Of The Nations,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,Independent ,"April, 1996",95.73,93.97,100,tel: (360) 698-7227,http://www.cotni.org/,11992 Clear Creek Road,Silverdale,WA,98383
95-3130408,Children Of The Night,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"December, 1983",93.11,93.24,93,tel: (808) 908-4474,http://www.childrenofthenight.org,14530 Sylvan Street,Van Nuys,CA,91411
86-0594785,Childrens Action Alliance Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"February, 1993",90.46,92.19,89,tel: (602) 266-0707,http://azchildren.org/,4001 North Third Street,Phoenix,AZ,85012
65-0049492,Collier County Child Advocacy Council Inc,R20,"Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups",Independent ,"March, 1989",88.84,85.87,93,tel: (239) 263-8383,http://www.caccollier.org,1036 Sixth Avenue,North Naples,FL,34102
75-2389095,Childrens Advocacy Center Of Collin County Inc,R99,"Civil Rights, Social Action, Advocacy","Civil Rights, Social Action, Advocacy N.E.C.",Independent ,"December, 1991",93.74,91.15,100,tel: (972) 633-6600,http://www.caccollincounty.org,2205 Los Rios Boulevard,Plano,TX,75074
65-0007620,Childrens Advocacy Center Of Sw Florida Inc,P62,Human Services - Multipurpose and Other,Victims' Services,Independent ,"January, 1989",90.83,87.04,100,tel: (239) 939-2808,http://www.cac-swfl.org,3830 Evans Avenue,Fort Myers,FL,33901
13-5562191,The Childrens Aid Society,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"November, 1920",90.15,86.07,100,tel: (212) 949-4936,http://www.childrensaidsociety.org,711 Third Avenue,New York,NY,10017
91-0982879,Childrens Alliance,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"March, 1977",86.6,84.57,89,tel: (800) 854-5437,http://www.childrensalliance.org/,718 6th Avenue South,Seattle,WA,98104
76-0458780,Childrens Assessment Center Foundation,I72,"Crime, Legal-Related","Child Abuse, Prevention of",Independent ,"February, 1995",92.11,98.17,89,tel: (713) 986-3300,http://www.cachouston.org/,2500 Bolsover Street,Houston,TX,77005
74-2828178,Childrens Bereavement Center Of South Texas,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,Independent ,"May, 1997",90.36,88.97,92,tel: (210) 736-4847,http://cbcst.org,205 West Olmos Drive,San Antonio,TX,78212
11-1834468,Childrens Bible Fellowship Of N Y Incorporated,X20,"Religion-Related, Spiritual Development",Christian,Independent ,"October, 1959",56.13,84.23,40,tel: (845) 225-2005,http://www.cbfny.org/,250 Nimham Road,Carmel,NY,10512
13-3512123,Childrens Brain Tumor Foundation Inc,G48,"Diseases, Disorders, Medical Disciplines",Brain Disorders,Independent ,"September, 1989",73.18,76.81,70,tel: (866) 228-4673,http://www.cbtf.org,274 Madison Avenue,New York,NY,10016
95-3954352,Childrens Burn Foundation,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"May, 1985",85.97,81.85,92,tel: (818) 907-2822,http://childburn.org/,5000 Van Nuys Boulevard,Sherman Oaks,CA,91403
13-6019222,Childrens Cancer And Blood Foundation Inc,E61,Health - General and Rehabilitative,Blood Supply Related,Independent ,"September, 1953",87.02,81.65,100,tel: (212) 297-4336,http://www.childrenscbf.org/,333 East 38th Street,New York,NY,10016
93-1181662,Childrens Cancer Association,A99,"Arts, Culture and Humanities","Arts, Culture, and Humanities N.E.C.",Independent ,"August, 1995",90.68,86.83,100,tel: (503) 244-3141,http://joyrx.org/,1200 Northwest Naito Parkway,Portland,OR,97209
59-1779035,Childrens Cancer Center Inc,E24,Health - General and Rehabilitative,"Hospital, Specialty",Independent ,"January, 1978",89.75,86.07,96,tel: (813) 367-5437,http://www.childrenscancercenter.org/,4901 West Cypress Street,Tampa,FL,33611
33-0418563,Childrens Cancer Recovery Foundation,S21,"Community Improvement, Capacity Building",Community Coalitions,Independent ,"September, 1990",73.49,73.99,73,tel: (800) 238-6479,http://www.childrenscancerrecovery.org,6380 Flank Drive,Harrisburg,PA,17112
41-1893645,Childrens Cancer Research Fund,T50,"Philanthropy, Voluntarism and Grantmaking Foundations","Philanthropy, Charity, Voluntarism Promotion, General",Independent ,"February, 1998",73.15,62.16,97,tel: (888) 422-7348,http://www.childrenscancer.org/,7301 Ohms Lane,Minneapolis,MN,55439
06-1321377,Childrens Charity Fund Inc,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"January, 1993",17.53,0,40,tel: (800) 643-5787,http://www.childrenscharityfund.org/,6623 Superior Avenue,Sarasota,FL,34231
95-1643332,The Childrens Clinic Serving Children And Their Families,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"April, 1941",88.99,95.86,85,tel: (562) 933-0400,http://www.thechildrensclinic.org,2790 Atlantic Avenue,Long Beach,CA,90806
42-1385361,Childrens Cup,X20,"Religion-Related, Spiritual Development",Christian,Independent ,"October, 1992",90.96,93.5,89,tel: (225) 673-4505,http://www.childrenscup.org,P.O. Box 400,Prairieville,LA,70769
52-0895622,Childrens Defense Fund,R20,"Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups",Independent ,"November, 1969",92.62,93.3,92,tel: (877) 233-9025,http://www.childrensdefense.org,"25 E Street, NW",Washington,DC,20001
84-0745008,Childrens Diabetes Foundation At Denver Colorado,G80,"Diseases, Disorders, Medical Disciplines",Specifically Named Diseases,Independent ,"September, 1977",81.64,76.49,89,tel: (303) 863-1200,http://www.childrensdiabetesfoundation.org/,4380 South Syracuse Street,Denver,CO,80237
94-2870828,San Jose Childrens Discovery Museum,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"April, 1983",93.13,91.16,96,tel: (408) 298-5437,http://www.cdm.org/,180 Woz Way,San Jose,CA,95110
59-2145821,Childrens Dream Fund Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1983",92.81,92.64,93,tel: (727) 896-6390,http://www.childrensdreamfund.org/,One Progress Plaza,Saint Petersburg,FL,33701
33-0193286,Childrens Fund Incorporated,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"August, 1986",88.86,95.22,85,tel: (909) 379-0000,http://www.childrensfundonline.org/,348 West Hospitality Lane,San Bernardino,CA,92408
57-0892070,Childrens Harbor Inc,E86,Health - General and Rehabilitative,"Patient Services - Entertainment, Recreation",Independent ,"January, 1996",79.58,89.78,73,tel: (334) 857-2133,http://www.childrensharbor.com/,1 Our Children's Highway,Alexander City,AL,35010
13-3468427,The Childrens Health Fund,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"September, 1993",77.47,68.14,100,tel: (800) 535-7448,http://www.childrenshealthfund.org,215 West 125th Street,New York,NY,10027
41-1307457,Childrens Heartlink,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"October, 1977",76.67,67.77,93,tel: (952) 928-4860,http://www.childrensheartlink.org/,5075 Arcadia Avenue,Minneapolis,MN,55436
71-0356241,Childrens Home Inc,P70,Human Services - Multipurpose and Other,"Residential, Custodial Care",Independent ,"March, 1962",85.25,85.52,85,tel: (870) 239-4031,http://www.childrenshomes.org/,5515 Walcott Road,Paragould,AR,72450
59-0192430,Childrens Home Society Of Florida,P30,Human Services - Multipurpose and Other,"Children's, Youth Services",Independent ,"November, 1941",83.2,77.31,93,tel: (321) 397-3000,http://www.chsfl.org,1485 South Semoran Boulevard,Winter Park,FL,32792
33-0430285,Childrens Hopechest Inc,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"March, 1995",92.88,90.77,96,tel: (719) 487-7800,http://www.hopechest.org/,P.O. Box 63842,Colorado Springs,CO,80962
73-1200262,Childrens Medical Research Inc,H98,Medical Research,Pediatrics Research,Independent ,"February, 1985",91.17,87.52,100,tel: (888) 229-5437,http://www.okchf.org,6501 N Broadway Extension,Oklahoma City,OK,73116
91-1394056,Seattle Childrens Hospital Guild Association,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1988",86.96,85.21,89,tel: (800) 635-1432,http://www.seattlechildrens.org/ways-to-help/guilds/,PO Box 5371 / S-200,Seattle,WA,98145
39-1500075,Childrens Hospital Of Wisconsin Foundation Inc,E11,Health - General and Rehabilitative,Single Organization Support,Independent ,"March, 1985",83.36,81.1,86,tel: (888) 543-7233,http://www.chw.org/giving-and-volunteers/about-childrens-hospital-foundation/,10361 Innovation Drive,Wauwatosa,WI,53226
95-4335462,Childrens Hunger Fund,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"December, 1996",85.41,79.38,100,tel: (800) 708-7589,http://www.ChildrensHungerFund.org/,13931 Balboa Blvd.,Sylmar,CA,91342
52-1638207,Childrens Inn At Nih Inc,E86,Health - General and Rehabilitative,"Patient Services - Entertainment, Recreation",Independent ,"August, 1989",92.58,89.52,100,tel: (800) 644-4660,http://www.childrensinn.org/,Seven West Drive,Bethesda,MD,20814
38-1682300,Childrens Leukemia Foundation Of Michigan,G31,[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1954",77.85,72.51,85,tel: (800) 825-2536,http://www.leukemiamichigan.org,5455 Corporate Drive,Troy,MI,48098
11-2106778,Childrens Leukemia Research Association Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"April, 1966",68.55,67.17,70,tel: (516) 222-1944,http://www.childrensleukemia.org,585 Stewart Avenue,Garden City,NY,11530
38-2928770,Childrens International Lifeline,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"August, 1990",86.63,84.63,89,tel: (606) 663-3459,http://www.childrenslifeline.com/,P.O. Box 428,Hamilton,GA,31811
23-2515768,Childrens Literacy Initiative,B92,Educational Institutions and Related Activities,"Remedial Reading, Reading Encouragement",Independent ,"September, 1988",94.63,93.55,96,tel: (215) 561-4676,http://www.cli.org/,2314 Market Street,Philadelphia,PA,19103
87-0387205,Childrens Miracle Network,Z99,Unknown,Unknown,Independent ,"April, 1983",93.65,91.02,100,tel: (801) 214-7400,http://www.cmnhospitals.org,205 West 700 South,Salt Lake City,UT,84101
01-0352258,Childrens Museum And Theatre Of Maine,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"December, 1977",77.2,69.7,89,tel: (207) 828-1234,http://kitetails.org/,142 Free Street,Portland,ME,4101
58-1785484,Childrens Museum Of Atlanta Inc,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"August, 1988",82.42,80.19,85,tel: (404) 527-5909,http://www.childrensmuseumatlanta.org/,"275 Centennial Olympic Park Drive, NW",Atlanta,GA,30313
74-2178563,Childrens Museum Inc,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"November, 1982",92.82,92.65,93,tel: (713) 535-7212,http://www.cmhouston.org/,1500 Binz Street,Houston,TX,77004
13-2761376,Childrens Museum Of Manhattan Grwth Through Art & Museum Exprience Inc,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"July, 1974",90.16,88.62,92,tel: (212) 721-1223,http://www.cmom.org,The Tisch Building,New York,NY,10024
62-1326890,Childrens Museum Of Memphis,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"May, 1988",89.65,90.35,89,tel: (901) 458-2678,http://cmom.com/,2525 Central Avenue,Memphis,TN,38104
25-1379704,Childrens Museum Of Pittsburgh,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"June, 1982",82.58,80.46,85,tel: (412) 322-5058,http://www.pittsburghkids.org/,10 Children's Way,Pittsburgh,PA,15212
51-0220694,Childrens Museum Of Richmond,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"February, 1978",93.89,96.77,92,tel: (804) 474-7031,http://www.c-mor.org,2626 West Broad Street,Richmond,VA,23220
94-3036465,Childrens Museum Of Tacoma,A52,"Arts, Culture and Humanities",Children's Museums,Independent ,"July, 1987",77.04,80.56,74,tel: (253) 627-6031,http://www.playtacoma.org/,1501 Pacific Avenue,Tacoma,WA,98402
36-4263831,Childrens Oncology Services Inc,E99,Health - General and Rehabilitative,Health - General and Rehabilitative N.E.C.,Independent ,"May, 1999",81.29,73.85,96,tel: (312) 924-4220,http://www.onestepcamp.org/,213 West Institute Place,Chicago,IL,60610
35-1674365,Cota Childrens Organ Transplant Association Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"April, 1987",91.76,89.06,96,tel: (800) 366-2682,http://www.cota.org,2501 West COTA Drive,Bloomington,IN,47403
51-0195216,Child Advocacy Services Center Inc,I72,"Crime, Legal-Related","Child Abuse, Prevention of",Independent ,"November, 1978",88.93,95.53,85,tel: (816) 363-1898,http://www.childrensplacekc.org/,2 East 59th Street,Kansas City,MO,64113
59-1935485,The Childrens Place At Home Safe Inc,P40,Human Services - Multipurpose and Other,Family Services,Independent ,"August, 2005",89.52,85.19,100,tel: (561) 383-9800,http://www.helphomesafe.org/,"2840 Sixth Avenue, S",Lake Worth,FL,33461
51-0265558,Childrens Relief Mission Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1982",68.94,72.21,66,tel: (818) 502-1989,http://www.childrensreliefmission.org/,1431 Columbia Drive,Glendale,CA,91205
